step,category,rank,reward,R2,RMSE,prefix,expr
0,elite,39,0.600354,0.3056269477535096,2.325103224731109,sub sub pow3 mul mul <C> v2 sigmoid mul mul <C> sub inv sub (1/3) v2 <C> <C> v1 <C>,(((((1.1028*v2)*sigmoid(((0.3397*((1/((1/3)-v2))--2.5980))*-0.7446)))**3)-v1)-0.3968)
0,elite,40,0.498196,0.08307709913457983,2.671850901256864,sub sub 2 (1/3) mul <C> mul v2 pow2 v1,((2-(1/3))-(-0.1251*(v2*(v1**2))))
0,elite,41,0.479115,-0.029845896985084996,2.8316001781751514,sub sub sub cos mul v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 (1/4) <C>,(((cos((v2*(v2**3)))-v1)-((0.0416*aggr((sour(v2)-targ(v2))))/(1/4)))-0.2272)
0,elite,42,0.337904,-0.8758136430314301,3.821559753551497,sub sub sub sub mul v2 (1/4) v2 v1 div mul <C> aggr sub sour v2 targ v2 (1/2) <C>,(((((v2*(1/4))-v2)-v1)-((0.1781*aggr((sour(v2)-targ(v2))))/(1/2)))-0.3992)
0,elite,43,0.342636,-0.7522638949031519,3.6935634647658984,sub sub sub sub mul v2 (1/3) v2 v1 div mul <C> aggr sub sour v2 targ v2 (1/2) <C>,(((((v2*(1/3))-v2)-v1)-((0.1789*aggr((sour(v2)-targ(v2))))/(1/2)))-0.2063)
0,elite,44,0.507123,0.02058154735338913,2.7614040055351876,sub sub sub tanh mul v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 (1/4) <C>,(((tanh((v2*(v2**3)))-v1)-((0.0423*aggr((sour(v2)-targ(v2))))/(1/4)))-0.8518)
0,elite,45,0.472912,-0.02102900690323639,2.8194529369447543,sigmoid sub sub 1 mul v2 pow3 v2 v1,sigmoid(((1-(v2*(v2**3)))-v1))
0,elite,46,0.639455,0.46254117161163877,2.0455891429678004,sub sub tanh add mul <C> v2 v2 mul mul <C> v1 tan sqrtabs v2 pow3 <C>,((tanh(((0.4060*v2)+v2))-((-0.0000*v1)*tan(sqrtabs(v2))))-(0.2808**3))
0,elite,47,0.485761,-493.90759060335967,62.073733431996175,inv sub sub sub mul v2 pow3 v2 v1 v1 (1/3),(1/((((v2*(v2**3))-v1)-v1)-(1/3)))
0,elite,48,0.489122,-0.06344348072282324,2.877418397610391,sub sin sub sub mul v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 (1/2) <C>,(sin((((v2*(v2**3))-v1)-((0.2171*aggr((sour(v2)-targ(v2))))/(1/2))))-0.1275)
0,elite,49,0.063994,-13.327744408190002,10.561721761602387,sub sub sqrtabs sub mul v2 pow3 v2 v1 cos mul <C> neg aggr sour v2 cos inv <C>,((sqrtabs(((v2*(v2**3))-v1))-cos((-0.0000*(-aggr(sour(v2))))))-cos((1/-174.7614)))
0,elite,50,0.456777,-0.19861653058768414,3.054822220200325,sub sub pow3 mul mul tanh <C> v2 v1 div v2 aggr sour sub neg v2 5 <C>,(((((tanh(0.0791)*v2)*v1)**3)-(v2/aggr(sour(((-v2)-5)))))--0.0898)
0,elite,51,0.297409,-1.104055482202651,4.047383932456988,sub tanh sub sub (1/2) v2 pow3 v2 v1,(tanh((((1/2)-v2)-(v2**3)))-v1)
0,elite,52,0.563050,0.24438105448498637,2.425477379418226,sub pow3 add mul mul <C> v2 2 mul <C> v1 v2,(((((0.2359*v2)*2)+(0.0059*v1))**3)-v2)
0,elite,53,0.243946,-2.0090568286496286,4.8401743337684175,sub sub tanh add mul <C> v2 mul mul <C> v1 v1 v2 (1/4),((tanh(((2.2761*v2)+((0.0132*v1)*v1)))-v2)-(1/4))
0,elite,54,0.453655,-0.07421945517554907,2.8919602298668363,sub sub 5 mul mul <C> v2 mul mul <C> v1 v1 3,((5-((-0.1562*v2)*((1.0817*v1)*v1)))-3)
0,elite,55,0.005506,-175.73152090131103,37.093927337258336,sub sub sub sub pow2 v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 (1/3) <C>,(((((v2**2)-(v2**3))-v1)-((1.2074*aggr((sour(v2)-targ(v2))))/(1/3)))-8.3879)
0,elite,56,0.005848,-167.36301795259564,36.205050738891956,sub sub sub sub tanh v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 (1/2) <C>,((((tanh(v2)-(v2**3))-v1)-((1.8038*aggr((sour(v2)-targ(v2))))/(1/2)))--0.7720)
0,elite,57,0.485995,-0.03705226563728892,2.8414899986302786,sub tanh sub sub mul v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 (1/5) <C>,(tanh((((v2*(v2**3))-v1)-((-0.2215*aggr((sour(v2)-targ(v2))))/(1/5))))-0.8474)
0,elite,58,0.462069,-0.44907006789887194,3.3588491711189516,sub sub sub sub sigmoid mul pow3 v2 v1 div mul <C> neg aggr sour v2 <C> <C> v1 5,((((sigmoid(((v2**3)*v1))-((-0.0072*(-aggr(sour(v2))))/-0.9283))--4.6834)-v1)-5)
0,elite,59,0.248770,-1.9301712727096145,4.776307868978136,sub sub sigmoid sub mul v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 v2 5,((sigmoid(((v2*(v2**3))-v1))-((0.0522*aggr((sour(v2)-targ(v2))))/v2))-5)
0,elite,60,0.504398,-0.010200498430870564,2.804462251305848,sub sigmoid sub sub mul v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 (1/3) <C>,(sigmoid((((v2*(v2**3))-v1)-((0.7412*aggr((sour(v2)-targ(v2))))/(1/3))))-0.9337)
0,elite,61,0.181172,-3.515805555426817,5.929436551468732,sub sub sub sub mul v2 pow3 (1/4) v2 v1 div mul v2 sqrtabs (1/4) v2 (1/4),(((((v2*((1/4)**3))-v2)-v1)-((v2*sqrtabs((1/4)))/v2))-(1/4))
0,elite,62,0.054368,-16.14128843330968,11.552275590078658,sqrtabs sub sub sub mul v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 2 <C>,sqrtabs(((((v2*(v2**3))-v1)-((1.2339*aggr((sour(v2)-targ(v2))))/2))-40.4972))
0,elite,63,0.023521,-12423.962562535216,311.0236071548588,sub sub (1/4) exp mul <C> mul v2 v1 div tanh v2 v1,(((1/4)-exp((-0.0369*(v2*v1))))-(tanh(v2)/v1))
0,elite,64,0.515383,0.03783441560938794,2.736974295740817,cos sigmoid sub sub 5 v2 pow3 v2,cos(sigmoid(((5-v2)-(v2**3))))
0,elite,65,0.166125,-3.6137643320782633,5.993403444365713,sub sub sub sub mul v2 5 v2 v1 div mul <C> aggr sub sour v2 targ v2 1 <C>,(((((v2*5)-v2)-v1)-((-0.7451*aggr((sour(v2)-targ(v2))))/1))--0.3295)
0,elite,66,0.865244,0.8603316468678738,1.042785096507526,sub sub 4 add mul <C> v2 mul mul <C> v1 v1 logabs <C>,((4-((-0.8659*v2)+((0.0055*v1)*v1)))-logabs(54.3578))
0,elite,67,0.497142,-0.04779958992486821,2.8561757106409575,sub sub sub sub mul (1/5) v2 v1 5 mul <C> aggr sour v2 <C>,((((((1/5)*v2)-v1)-5)-(-0.0412*aggr(sour(v2))))--4.8189)
0,elite,68,0.288757,-1.2298067848933676,4.166577130348039,sub sub sub sub mul v2 sin sub mul inv v2 aggr targ v2 v2 logabs v2 (1/4) <C> <C>,(((((v2*sin((((1/v2)*aggr(targ(v2)))-v2)))-logabs(v2))-(1/4))--1.5305)-0.5243)
0,elite,69,0.499828,-0.0198230584846939,2.8177874018037747,div sub sub sub mul v2 pow3 v2 v1 div cos <C> aggr sub sour v2 targ v2 (1/4) <C>,(((((v2*(v2**3))-v1)-(cos(-25.5505)/aggr((sour(v2)-targ(v2)))))-(1/4))/395.0003)
0,elite,70,0.005647,-170.08190418097195,36.49621674636672,sub sub sub sub sqrtabs v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 1 <C>,((((sqrtabs(v2)-(v2**3))-v1)-((3.6846*aggr((sour(v2)-targ(v2))))/1))-0.8804)
0,elite,71,0.524607,0.08545480549446471,2.6683844153110097,sub sigmoid exp mul mul <C> v2 mul mul <C> v1 v1 (1/5),(sigmoid(exp(((-91.1369*v2)*((-140.3312*v1)*v1))))-(1/5))
0,elite,72,0.053989,-16.142898533764743,11.552818136442374,sqrtabs sub sub sub mul v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 3 <C>,sqrtabs(((((v2*(v2**3))-v1)-((2.0772*aggr((sour(v2)-targ(v2))))/3))-38.1729))
0,elite,73,0.401881,-0.5200100825660445,3.4400839723633228,sub sub sub sub mul v2 (1/2) v2 v1 div mul <C> aggr sub sour v2 targ v2 2 <C>,(((((v2*(1/2))-v2)-v1)-((0.5428*aggr((sour(v2)-targ(v2))))/2))-0.2520)
0,elite,74,0.110242,-5.551928440816899,7.142173272836396,sub exp sub sub mul (1/5) v2 v1 div mul <C> aggr cos sub sour v2 targ v2 4 <C>,(exp(((((1/5)*v2)-v1)-((0.4951*aggr(cos((sour(v2)-targ(v2)))))/4)))-3.9753)
0,elite,75,0.388679,-0.5509260060238972,3.4748922991966538,sub logabs sub sub mul v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 5 <C>,(logabs((((v2*(v2**3))-v1)-((1.2128*aggr((sour(v2)-targ(v2))))/5)))-3.5472)
0,elite,76,0.592897,0.29256286160175304,2.346873802553691,sub sub sub sub mul (1/2) v2 v1 div mul <C> aggr sour sub sigmoid 2 (1/4) v2 4 <C>,((((((1/2)*v2)-v1)-((-0.0086*aggr(sour((sigmoid(2)-(1/4)))))/v2))-4)--4.1584)
0,elite,77,0.005566,-175.72259422749374,37.09299052199859,sub sub sub sub pow2 v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 3 <C>,(((((v2**2)-(v2**3))-v1)-((10.8325*aggr((sour(v2)-targ(v2))))/3))-8.2419)
0,elite,78,0.200622,-2.755566780975741,5.40733845791505,sub sub 5 add mul <C> v2 v1 div mul <C> v1 tan v2,((5-((-0.8711*v2)+v1))-((-0.0089*v1)/tan(v2)))
0,elite,79,0.433750,-17.123421469917115,11.878617681910924,sub inv sub sub mul v2 pow3 v2 v1 div mul <C> aggr sub sour v2 targ v2 v1 <C>,((1/(((v2*(v2**3))-v1)-((-1.0741*aggr((sour(v2)-targ(v2))))/v1)))-0.1146)
0,elite,80,0.042823,-48978.085500738045,617.5201671597678,sub tan sub sub mul v2 exp v2 v1 div mul <C> aggr sub sour v2 targ v2 (1/5) <C>,(tan((((v2*exp(v2))-v1)-((0.1080*aggr((sour(v2)-targ(v2))))/(1/5))))--0.9357)
